Jurisdiction,Crimes,Population,Crime_Rate
Macon County Sheriff's Office,424,,
LaFayette Police Department,469,5650,83.01
Red Boiling Springs Police Department,8,1199,6.67
17th Judicial Drug Task Force,75,,
Tennessee State Parks,348,,
Marshall County Sheriff's Office,318,,
Chapel Hill Police Department,58,1780,32.58
Cornersville Police Department,37,1267,29.20
Lewisburg Police Department,859,12659,67.86
Petersburg Police Department,12,537,22.35
Henry Horton State Park,,,
Maury County Drug Task Force,,,
Maury County Sheriff's Office,1803,,
Columbia Police Department,3759,44852,83.81
Mount Pleasant Police Department,233,4871,47.83
Spring Hill Police Department,1536,56232,27.32
Columbia State Community College,5,4667,1.07
Moore County Sheriff's Office,157,,
13th Judicial Drug Task Force,,,
Putnam County Sheriff's Office,1069,,
Algood Police Department,216,4012,53.84
Baxter Police Department,67,1677,39.95
Cookeville Police Department,2330,35771,65.14
Monterey Police Department,93,2750,33.82
Tennessee Bible College,,,
Tennessee Technological University,123,10473,11.74
Burgess Falls Natural Area,,,
Robertson County Sheriff's Office,1310,,
Coopertown Police Department,107,4702,22.76
Cross Plains Police Department,18,1884,9.55
Greenbrier Police Department,352,6963,50.55
Ridgetop Police Department,,,
Springfield Police Department,1028,19330,53.18
Rutherford County Sheriff's Office,4068,,
Eagleville Police Department,1,914,1.09
LaVergne Police Department,2204,39424,55.91
Murfreesboro Police Department,12887,161810,79.64
Smyrna Police Department,3514,57595,61.01
Smyrna/Rutherford Co. Airport Authority,,,
Daymar College Murfreesboro,,28,
Middle Tennessee State University,262,22329,11.73
Tennessee College of Applied Technology at Murfreesboro,,583,
Smith County Sheriff's Office,762,,
Carthage Police Department,224,2276,98.42
Gordonsville Police Department,22,1385,15.88
South  Carthage Police Department,27,1563,17.27
18th Judicial Drug Task Force,81,,
Sumner County Sheriff's Office,1876,,
Gallatin Police Department,2212,49220,44.94
Hendersonville Police Department,2612,62475,41.81
Millersville Police Department,238,6239,38.15
Portland Police Department,563,13460,41.83
Westmoreland Police Department,84,2740,30.66
White House Police Department,826,14290,57.80
Volunteer State Community College,4,5303,0.75
Bledsoe Creek State Park,,,
15th Judicial Drug Task Force,12,,
Metro Hartsville/Trousdale County Sheriff's Office,456,,
Hartsville Police Department,,,
Tennessee College of Applied Technology at Hartsville,,542,
Van Buren County Sheriff's Office,104,,
Spencer Police Department,44,1592,27.64
31st Judicial Drug Task Force,,,
Warren County Sheriff's Office,1233,,
McMinnville Police Department,927,13952,66.44
Tennessee College of Applied Technology at McMinnville,,311,
Rock Island State Park,,,
White County Sheriff's Office,315,,
Sparta Police Department,344,4993,68.90
21st Judicial Drug Task Force,4,,
Williamson County Sheriff's Office,2445,,
Brentwood Police Department,1094,45581,24.00
Fairview Police Department,422,9844,42.87
Franklin Police Department,3008,87081,34.54
Nolensville Police Department,189,16990,11.12
O'More College of Design,,,
Wilson County Sheriff's Office,1833,,
Lebanon Police Department,3082,43321,71.14
Mount Juliet Police Department,1933,41849,46.19
Watertown Police Department,46,1556,29.56
Cumberland University,,4746,
Cedars of Lebanon State Park,,,
Benton County Sheriff's Office,425,,
Big Sandy Police Department,86,484,177.69
Camden Police Department,126,3711,33.95
Nathan Bedford Forrest State Park,,,
24th Judicial Drug Task Force,162,,
Carroll County Sheriff's Office,348,,
Bruceton Police Department,65,1496,43.45
Clarksburg Police Department,,381,
Hollow Rock Police Department,11,690,15.94
Huntingdon Police Department,191,4432,43.10
McKenzie Police Department,289,5451,53.02
Trezevant Police Department,8,800,10.00
Bethel University,67,4717,14.20
Tennessee College of Applied Technology at McKenzie,,138,
Chester County Sheriff's Office,293,,
Henderson Police Department,297,6372,46.61
Freed-Hardeman University,3,2354,1.27
Chickasaw State Park,,,
Crockett County Sheriff's Office,251,,
Alamo Police Department,98,2335,41.97
Bells Police Department,83,2501,33.19
Friendship Police Department,59,621,95.01
Gadsden Police Department,13,479,27.14
Maury City Police Department,37,591,62.61
Decatur County Sheriff's Office,326,,
Decaturville Police Department,5,791,6.32
Parsons Police Department,69,2074,33.27
23rd Judicial Drug Task Force,480,,
Dickson County Sheriff's Office,1074,,
Burns Police Department,27,1783,15.14
City of Dickson Park Ranger Office,6,,
Dickson Police Department,1236,16154,76.51
White Bluff Police Department,124,4065,30.50
Tennessee College of Applied Technology at Dickson,5,728,6.87
Harpeth Scenic River & Narrows Historic Area,,,
Montgomery Bell State Park,,,
Dyer County Sheriff's Office,414,,
Dyersburg Police Department,2396,15988,149.86
Newbern Police Department,169,3296,51.27
Trimble Police Department,,535,
Dyersburg State Community College,2,2495,0.80
Tennessee College of Applied Technology Northwest,1,388,2.58
25th Judicial Drug Task Force,,,
Fayette County Sheriff's Office,604,,
Gallaway Police Department,25,502,49.80
LaGrange Police Department,,,
Moscow Police Department,,554,
Oakland Police Department,102,10004,10.20
Piperton Police Department,48,2696,17.80
Rossville Police Department,40,1146,34.90
Somerville Police Department,230,3470,66.28
Gibson County Sheriff's Office,581,,
Bradford Police Department,21,989,21.23
Dyer Police Department,65,2312,28.11
Gibson Police Department,10,361,27.70
Humboldt Police Department,583,7831,74.45
Medina Police Department,165,5338,30.91
Milan Police Department,638,8167,78.12
Rutherford Police Department,15,1140,13.16
Trenton Police Department,294,4243,69.29
Hardeman County Sheriff's Office,755,,
Bolivar Police Department,584,5127,113.91
Grand Junction Police Department,3,335,8.96
Hornsby Police Department,,,
Middleton Police Department,11,682,16.13
Toone Police Department,13,270,48.15
Whiteville Police Department,66,2646,24.94
Tennessee College of Applied Technology at Whiteville,,,
Hardin County Sheriff's Office,686,,
Crump Police Department,,,
Saltillo Police Department,5,426,11.74
Savannah Police Department,908,7207,125.99
Tennessee College of Applied Technology at Crump,,337,
Pickwick Landing State Park,,,
Haywood County Sheriff's Office,335,,
Brownsville Police Department,792,9578,82.69
Henderson County Sheriff's Office,539,,
Lexington Police Department,882,7944,111.03
Scotts Hill Police Department,24,875,27.43
Natchez Trace State Park,,,
Henry County Sheriff's Office,601,,
Henry Police Department,15,442,33.94
Paris Police Department,670,10371,64.60
Puryear Police Department,3,708,4.24
Tennessee College of Applied Technology at Paris,1,257,3.89
Paris Landing State Park,,,
Hickman County Sheriff's Office,1056,,
Centerville Police Department,127,3569,35.58
Houston County Sheriff's Office,180,,
Erin Police Department,76,1209,62.86
Humphreys County Sheriff's Office,656,,
McEwen Police Department,38,1735,21.90
New Johnsonville Police Department,130,1851,70.23
Waverly Police Department,335,4342,77.15
Johnsonville State Park,,,
Lake County Sheriff's Office,78,,
Ridgely Police Department,55,1787,30.78
Tiptonville Police Department,128,4071,31.44
Reelfoot Lake State Park,,,
Lauderdale County Sheriff's Office,554,,
Gates Police Department,19,661,28.74
Halls Police Department,142,2076,68.40
Henning Police Department,,,
Ripley Police Department,747,7772,96.11
Tennessee College of Applied Technology at Ripley,,293,
Fort Pillow State Historic Park,,,
22nd Judicial Drug Task Force,39,,
Lawrence County Sheriff's Office,458,,
Ethridge Police Department,26,548,47.45
Iron City Police Department,,,
Lawrenceburg Police Department,717,11874,60.38
Loretto Police Department,30,1783,16.83
St. Joseph Police Department,33,814,40.54
David Crockett State Park,,,
Lewis County Sheriff's Office,194,,
Hohenwald Police Department,397,3882,102.27
Tennessee College of Applied Technology at Hohenwald,,815,
Metro Narcotics Drug Task Force,,,
TWRA-Jackson,,,
Madison County Sheriff's Office,1198,,
Jackson Police Department,7773,68059,114.21
Jackson-Madison County Airport Authority,,,
Jackson State Community College,1,3699,0.27
Lambuth University,,,
Lane College,67,1234,54.29
Tennessee College of Applied Technology at Jackson,2,571,3.50
Union University,37,3027,12.22
Pinson Mounds State Archeological Park,,,
McNairy County Sheriff's Office,809,,
Adamsville Police Department,135,2244,60.16
Bethel Springs Police Department,,,
Finger Police Department,,,
Ramer Police Department,,,
Selmer Police Department,386,4419,87.35
Big Hill Pond State Park,,,
19th Judicial Drug Task Force,292,,
Montgomery County Sheriff's Office,1836,,
Clarksville Police Department,12529,174738,71.70
Austin Peay State University,107,7614,14.05
Clarksville Medical Institute,,,
Daymar/Hussian College Clarksville,,69,
Miller-Motte Technical College,,,
North Central Institute,,,
Dunbar Cave Natural Area,,,
27th Judicial Drug Task Force,14,,
Obion County Sheriff's Office,491,,
Hornbeak Police Department,,497,
Kenton Police Department,49,1184,41.39
Obion Police Department,22,964,22.82
Samburg Police Department,,,
South Fulton Police Department,135,2178,61.98
Troy Police Department,15,1392,10.78
Union City Police Department,1340,10996,121.86
Perry County Sheriff's Office,26,,
Lobelville Police Department,,,
Mousetail Landing State Park,,,
West Tennessee Violent Crimes Task Force,118,,
Shelby County Sheriff's Office,8151,,
Bartlett Police Department,3178,56928,55.82
Collierville Police Department,2135,51439,41.51
Germantown Police Department,1559,41333,37.72
Memphis Police Department,115221,624944,184.37
Memphis Shelby County Airport Authority Police,878,,
Millington Police Department,1132,10461,108.21
Shelby County Police Department,,,
All Saints Bible College,,,
Baptist Health Sciences University,4,896,4.46
Belhaven University,,,
Christian Brothers University - Campus Police and Safety,,2060,
Harding School of Theology,,94,
LeMoyne-Owen College,1,821,1.22
Memphis College of Art,,,
Memphis Theological Seminary,,,
Mid-America Baptist Theological Seminary,,,
Omni Adult Training Center,,,
Remington College - Memphis,,,
Rhodes College,137,2493,54.95
Shelby State Community College,,,
Southern College of Optometry,7,734,9.54
Southwest Tennessee Community College,12,4251,2.82
State Technical Community College,,,
TechSkills - Memphis,,,
Tennessee College of Applied Technology at Memphis,11,1038,10.60
University of Memphis,317,24634,12.87
University of Tennessee Health Sciences Center,64,7618,8.40
Victory University,,,
Meeman-Shelby Forest State Park,,,
T.O. Fuller State Park,,,
Stewart County Sheriff's Office,589,,
Cumberland City Police Department,1,315,3.17
Dover Police Department,77,1768,43.55
Tipton County Sheriff's Office,1421,,
Atoka Police Department,194,10345,18.75
Brighton Police Department,106,2858,37.09
Covington Police Department,725,8582,84.48
Mason Police Department,30,1354,22.16
Munford Police Department,423,6466,65.42
Tennessee College of Applied Technology at Covington,,285,
Wayne County Sheriff's Office,268,,
Clifton Police Department,29,2614,11.09
Collinwood Police Department,10,918,10.89
Waynesboro Police Department,121,2353,51.42
Weakley County Sheriff's Office,475,,
Dresden Police Department,133,3026,43.95
Gleason Police Department,174,1407,123.67
Greenfield Police Department,112,2083,53.77
Martin Police Department,542,10562,51.32
Sharon Police Department,36,952,37.82
University of Tennessee at Martin,69,6129,11.26
Big Cypress Tree Natural Area,,,
